id,description,fat,sodium,carbohydrates,fiber,sugars,addedSugar,protein,calories
1886332,WHOLE WHEAT BREAD,1.5,170,19.0,3.01,3.0,,5.0,100
2078782,WHOLE WHEAT BREAD,2.0,230,25.0,3.02,5.0,,7.0,140
2071180,WHOLE WHEAT BREAD,1.5,210,19.0,3.0,3.0,,4.0,100
2286812,WHOLE WHEAT BREAD,1.0,170,19.0,3.01,3.0,,5.0,100
1957492,WHOLE WHEAT BREAD,0.998,135,13.0,1.98,2.0,0.992,4.0,70.1
2121542,WHOLE WHEAT BREAD,2.0,0.0,14.0,2.02,0.0,,3.0,80.0
2070779,WHOLE WHEAT BREAD,1.5,160,19.0,4.0,2.0,,5.0,100
2302617,WHOLE WHEAT BREAD,0.998,200,22.0,0.988,3.0,3.02,5.0,110
487797,WHOLE WHEAT BREAD,0.499,220,19.0,4.0,4.0,,4.0,100
1923210,WHOLE WHEAT BREAD,1.0,160,20.0,2.02,4.0,2.99,3.0,100
2057184,WHOLE WHEAT BREAD,0.998,270,26.0,5.02,3.0,,6.0,140
2032099,WHOLE WHEAT BREAD,1.0,125,12.0,1.99,2.0,,3.0,59.9
2021299,WHOLE WHEAT BREAD,1.0,160,15.0,2.02,2.0,,4.0,79.9
1800578,SOURDOUGH BREAD,0.0,54.9,13.0,1.01,1.0,,2.0,59.9
1002531,SOURDOUGH BREAD,0.0,250,25.0,0.988,0.0,,5.0,130
1897954,SOURDOUGH BREAD,0.0,250,23.0,0.989,0.0,,4.0,110
1869659,SOURDOUGH BREAD,3.0,340,28.0,1.03,0.998,,6.0,160
2057575,SOURDOUGH BREAD,1.0,250,25.0,1.0,0.0,,4.0,130
2014362,SOURDOUGH BREAD,0.502,210,23.0,1.01,0.999,,4.0,110
2214130,SOURDOUGH BREAD,0.502,260,28.0,1.03,0.998,0.0,6.0,140
2033123,SOURDOUGH BREAD,0.501,140,14.0,0.99,0.999,,3.0,69.9
548628,SOURDOUGH BREAD,1.0,89.9,15.0,1.01,0.0,,3.0,89.9
1869657,SOURDOUGH BREAD,0.0,320,29.0,3.02,0.998,,4.0,130
1957486,SOURDOUGH BREAD,1.0,125,13.0,1.01,1.0,1.01,2.0,89.9
2034950,SOURDOUGH BREAD,0.0,320,29.0,2.0,0.998,,5.0,140
2096950,SOURDOUGH BREAD,1.0,630,19.0,1.01,1.0,,3.0,100
2098264,"SOURDOUGH BREAD, SOURDOUGH",0.0,168,20.0,1.0,1.0,,3.0,92.0
2110585,"SOURDOUGH BREAD, SOURDOUGH",1.5,230,25.0,0.98,2.0,2.01,4.0,130
1897580,"SOURDOUGH BREAD, SOURDOUGH",0.5,230,23.0,0.99,0.0,0.0,3.0,110
1991360,"SOURDOUGH BREAD, SOURDOUGH",0.499,190,20.0,0.989,0.0,0.0,3.0,100
2295765,"SOURDOUGH BREAD, SOURDOUGH",1.5,180,18.0,1.0,1.0,1.0,4.0,100
2143659,WHITE BREAD,0.999,180,21.0,0.988,3.0,3.0,3.0,110
2131541,WHITE BREAD,0.5,135,13.0,0.0,2.0,2.0,2.0,70.0
2314936,WHITE BREAD,1.5,200,24.0,0.99,2.0,0.99,3.0,120
1885525,WHITE BREAD,1.5,250,25.0,0.987,3.0,,4.0,130
2056941,WHITE BREAD,1.5,230,24.0,1.0,3.0,,4.0,130
2089273,WHITE BREAD,7.0,210,24.0,3.01,2.0,,2.0,170
2083479,WHITE BREAD,0.0,190,18.0,0.984,0.0,,3.0,90.2
2071121,WHITE BREAD,0.999,230,23.0,0.99,3.0,,5.0,120
2071641,WHITE BREAD,2.0,140,19.0,0.99,2.0,,3.0,110
2284019,WHITE BREAD,2.0,270,28.0,1.03,2.0,2.0,4.0,150
1922857,WHITE BREAD,0.501,135,14.0,1.01,1.0,,2.0,70.0
1886430,WHITE BREAD,1.5,210,23.0,0.99,3.0,,3.0,120
2071088,WHITE BREAD,3.5,310,24.0,0.0,2.0,,0.998,140
2100702,WHITE BREAD,1.0,160,16.0,1.01,1.0,,2.0,80.1
2134436,WHITE BREAD,1.5,240,32.0,0.989,2.0,2.02,4.0,120
2285580,WHITE BREAD,1.0,150,19.0,1.0,2.0,,3.0,100
521275,WHITE BREAD,2.5,280,23.0,2.02,4.0,,2.0,120
2094755,WHITE BREAD,0.0,85.1,11.0,0.0,1.0,,2.0,49.9
1897952,WHITE BREAD,1.5,250,24.0,1.01,3.0,,4.0,120
1957488,WHITE BREAD,0.998,150,17.0,0.992,2.0,1.98,2.0,89.9
2101740,MULTIGRAIN BREAD,2.0,220,22.0,2.02,3.0,,5.0,120
2157213,MULTIGRAIN BREAD,0.51,177,10.6,0.75,1.2,,1.55,56.0
2092214,MULTIGRAIN BREAD,6.0,180,20.0,5.02,0.998,,3.0,150
2070625,MULTIGRAIN BREAD,1.5,170,19.0,3.0,3.0,,4.0,100
1851668,MULTIGRAIN BREAD,0.999,200,23.0,4.0,2.0,,5.0,115
1939000,MULTIGRAIN BREAD,2.0,150,23.0,0.989,5.0,4.0,4.0,120
2110034,MULTIGRAIN BREAD,2.5,150,17.0,3.01,2.0,,4.0,110
2157204,MULTIGRAIN BREAD,0.75,108,10.9,0.46,1.7,,1.86,58.0
2157210,MULTIGRAIN BREAD,1.53,3.7,14.0,0.87,3.28,,2.19,80.2
1921192,MULTIGRAIN BREAD,1.5,170,20.0,3.01,3.0,,5.0,100
2057946,MULTIGRAIN BREAD,3.0,170,20.0,3.01,3.0,,5.0,130
2101876,MULTIGRAIN BREAD,2.0,135,22.0,4.0,4.0,,5.0,110
2157203,MULTIGRAIN BREAD,0.51,177,10.6,0.75,1.2,,1.55,56.0
2054491,MULTIGRAIN BREAD,1.5,160,17.0,2.01,3.0,,3.0,90.1
2157212,MULTIGRAIN BREAD,1.07,33.1,10.7,0.83,2.35,,1.88,57.4
2108219,MULTIGRAIN BREAD,1.5,135,25.0,6.0,4.0,,5.0,110
2071182,MULTIGRAIN BREAD,1.5,170,19.0,3.0,3.0,,4.0,100
2017443,MULTIGRAIN BREAD,1.5,220,23.0,3.02,3.0,3.02,5.0,120
2105811,MULTIGRAIN BREAD,2.0,210,22.0,1.98,0.0,,4.0,120
2157207,MULTIGRAIN BREAD,1.5,153,17.0,0.9,2.5,,2.7,86.0
1782694,RYE BREAD,1.5,200,17.0,2.02,1.0,,3.0,90.0
2033720,RYE BREAD,2.0,430,23.0,2.0,0.0,,4.0,130
1919768,RYE BREAD,0.0,150,16.0,0.99,0.0,,3.0,80.1
1862440,PUMPERNICKEL,1.0,300,23.0,5.98,1.0,,4.0,125
2133663,"PUMPERNICKEL BAGELS, PUMPERNICKEL",2.0,390,45.0,5.04,3.0,,11.0,230
2299392,"PUMPERNICKEL BOULE, PUMPERNICKEL",0.502,310,25.0,2.0,0.998,,5.0,120
2035789,"NO SEEDS PUMPERNICKEL BREAD, PUMPERNICKEL",0.998,190,15.0,0.992,0.998,0.992,3.0,80.0
1977300,"PUMPERNICKEL ARTISAN BREAD, PUMPERNICKEL",0.498,310,27.0,0.0,1.0,0.0,5.0,130
1859004,"PUMPERNICKEL FLAVORED PRETZELS, PUMPERNICKEL",1.0,300,21.0,1.01,0.0,0.0,2.0,100
2077149,"PUMPERNICKEL PREMIUM BREAD, PUMPERNICKEL",0.999,200,14.0,0.999,0.999,,3.0,69.9
2131619,"PUMPERNICKEL RYE BREAD, PUMPERNICKEL",0.501,180,14.0,1.01,0.0,0.0,3.0,80.1
1946700,"PUMPERNICKEL RYE BREAD, PUMPERNICKEL",0.0,200,15.0,1.01,0.0,,3.0,70.0
2278015,"PUMPERNICKEL RYE BREAD, PUMPERNICKEL",1.0,160,15.0,1.01,2.0,1.01,3.0,80.1
2305126,CIABATTA,1.5,240,26.0,3.0,2.0,2.0,2.0,130
1916958,CIABATTA,0.998,370,27.0,1.03,0.0,,5.0,130
2057888,CIABATTA,3.49,220,52.0,2.05,0.0,,7.0,270
2017792,CIABATTA,0.0,330,29.0,1.01,1.0,,4.0,140
1905168,"CIABATTA BAGUETTE, CIABATTA",0.502,330,30.0,1.03,0.0,,5.0,150
2192253,"CIABATTA BATON, CIABATTA",0.498,260,28.0,1.01,0.0,0.0,6.0,140
1156151,"CIABATTA BREAD, CIABATTA",0.0,350,29.0,1.01,1.0,,5.0,140
2366752,"CIABATTA BUNS, CIABATTA",3.0,630,45.0,2.02,0.0,,8.0,240
1977856,"CIABATTA LOAF, CIABATTA",2.0,410,31.0,1.03,0.0,0.0,5.0,160
2193155,"CIABATTA LOAF, CIABATTA",4.0,205,,1.03,0.998,,5.0,140
1831902,"CIABATTA LOAF, CIABATTA",2.0,270,23.0,0.98,0.0,,4.0,120
2097763,"CIABATTA LOAF, CIABATTA",0.0,300,28.0,1.03,0.0,,4.0,130
2325194,"CIABATTA LOAF, CIABATTA",0.502,330,29.0,1.03,0.998,0.0,5.0,140
1995451,"CIABATTA LOAF, CIABATTA",0.5,270,24.0,1.0,0.0,0.0,4.0,120
2380289,"CIABATTA LUNGA, CIABATTA",0.0,300,29.0,1.01,1.0,,4.0,140
2326975,"CIABATTA ROLLS, CIABATTA",1.0,410,43.0,2.98,1.0,0.0,8.0,210
2218140,"CIABATTA ROLLS, CIABATTA",2.5,290,29.0,0.0,0.998,0.0,4.0,150
2338344,"CIABATTA ROLLS, CIABATTA",2.5,460,45.0,2.98,2.0,0.0,9.0,240
1153099,"6"""" CIABATTA ROLLS, CIABATTA",1.5,560,53.0,2.97,1.0,,11.0,270
1993553,BAGUETTE,0.502,340,29.0,1.03,0.998,0.0,5.0,140
2061785,BAGUETTE,0.0,300,25.0,1.01,0.0,,4.0,120
1889927,BAGUETTE,0.5,680,56.0,1.0,4.0,,9.0,270
2058050,BAGUETTE,1.0,380,31.0,1.01,0.0,,6.0,150
2367356,BAGUETTE,0.0,300,27.0,0.99,0.0,,4.0,130
2369708,"BAGUETTE BREAD, BAGUETTE",0.502,290,28.0,1.03,0.998,,5.0,130
2370374,"BAGUETTE BREAD, BAGUETTE",0.0,330,30.0,1.0,1.0,,5.0,140
694038,"WHITE BAGUETTE BREAD, BAGUETTE",1.0,330,29.0,1.01,0.0,,5.0,140
2365514,"BAGUETTE GLUTEN FREE BREADS, BAGUETTE",4.0,610,50.0,2.02,2.0,2.02,4.0,260
2376543,"DEMI BAGUETTE ARTISAN, DEMI BAGUETTE",0.0,240,,1.01,1.0,,4.0,120
708934,"DEMI BAGUETTE BREAD, DEMI BAGUETTE",1.0,360,29.0,1.01,0.0,,5.0,140
2365704,ARTISAN BAGUETTE,0.0,240,24.0,1.01,1.0,,4.0,120
566405,ARTISAN BAGUETTE,1.5,400,32.0,0.0,0.0,,6.0,160
1941667,ARTISAN BAGUETTE,0.0,240,24.0,1.01,1.0,0.0,4.0,110
461433,ARTISANAL BAGUETTES,3.0,130,9.0,1.0,0.0,,2.0,70.0
557281,BAGUETTE CRISPS,3.5,100,15.0,1.01,3.0,1.99,3.0,100
2067486,BAGUETTE CRISPS,2.5,260,20.0,1.01,1.0,,4.0,120
2067492,BAGUETTE CRISPS,2.5,260,20.0,1.01,1.0,,4.0,120
2115143,BAGUETTE CRISPS,6.0,210,17.0,1.99,1.0,,4.0,140
400974,BAGUETTE CRISPS,2.0,200,13.0,1.01,1.0,,2.0,80.1
1931100,BRIOCHE,8.0,430,50.0,1.98,8.0,7.03,9.0,300
2218720,BRIOCHE,4.0,180,30.0,2.02,6.0,5.0,5.0,168
2339519,BRIOCHE,4.5,115,18.0,0.0,4.0,,3.0,130
1932867,BRIOCHE,0.998,120,15.0,4.99,0.998,,3.0,80.0
2166242,"BRIOCHE BAGUETTES, BRIOCHE",6.0,440,44.0,2.04,7.0,6.04,8.0,270
2168620,"BRIOCHE BREAD, BRIOCHE",2.5,190,19.0,4.0,4.0,4.0,4.0,110
2378270,"BRIOCHE BUNS, BRIOCHE",3.5,320,34.0,1.02,7.0,4.96,8.0,200
2293346,"BRIOCHE ROLLS, BRIOCHE",,,,,,,,
1902647,"BRIOCHE ROLLS, BRIOCHE",3.0,240,38.0,1.97,6.0,,7.0,200
2176675,"BRIOCHE ROLLS, BRIOCHE",5.0,370,44.0,1.02,7.0,6.97,8.0,250
2171309,"BRIOCHE ROLLS, BRIOCHE",2.5,0.8,21.0,1.0,5.0,4.0,4.0,120
2193306,"BRIOCHE SLICED, BRIOCHE",3.5,160,19.0,0.99,5.0,5.02,3.0,120
2140621,"BRIOCHE BAKERY BREAD, BRIOCHE",1.5,200,20.0,0.988,3.0,3.0,4.0,110
2143389,"BRIOCHE BAKERY BREAD, BRIOCHE",1.5,190,21.0,0.988,3.0,3.0,3.0,110
2159098,"BRIOCHE BAKERY BREAD, BRIOCHE",1.5,190,21.0,0.988,3.0,3.0,3.0,110
2140622,"BRIOCHE BAKERY BREAD, BRIOCHE",1.5,200,20.0,0.988,3.0,3.0,4.0,110
1829936,"BRIOCHE BURGER BUNS, BRIOCHE",4.0,260,32.0,1.98,7.0,4.03,6.0,190
2110707,"BRIOCHE BURGER BUNS, BRIOCHE",4.5,200,26.0,1.0,6.0,5.0,5.0,170
2193323,"BRIOCHE BURGER BUNS, BRIOCHE",4.5,200,26.0,1.0,6.0,5.0,5.0,170
1960760,CHALLAH,1.5,280,26.0,1.03,3.0,,4.0,140
2283478,"CHALLAH BUN, CHALLAH",5.0,350,37.0,1.0,8.0,,6.0,220
2308412,"CHALLAH LOAF, CHALLAH",5.0,230,28.0,1.03,6.0,5.99,5.0,180
2276009,"CHALLAH CROWN LOAF, CHALLAH",5.0,230,28.0,1.03,6.0,5.99,5.0,180
1998047,"CHALLAH ORGANIC BREAD, CHALLAH",1.5,270,27.0,1.03,3.0,2.0,4.0,140
2303290,"BRAIDED CHALLAH BREAD, BRAIDED CHALLAH",3.0,200,30.0,1.01,5.0,4.98,5.0,150
2375542,\ROUND CHALLAH,2.0,100,12.0,0.0,2.0,,2.0,80.1
1937436,BRAIDED CHALLAH,2.0,100,12.0,0.0,2.0,,2.0,80.1
2168055,CHALLAH BREAD,2.0,,19.0,1.01,2.0,1.99,3.0,110
2058413,CHALLAH BREAD,2.0,116,13.0,0.35,1.0,,2.0,74.0
2088712,CHALLAH ROLLS,4.0,200,0.018,1.02,2.0,,3.0,130
1850731,KOSHER CHALLAH,3.0,140,25.0,2.0,5.0,,4.0,140
2095447,PRETZEL CHALLAH,2.5,130,25.0,0.99,4.0,,4.0,140
1918250,RAISIN CHALLAH,3.5,250,32.0,2.0,6.0,,10.0,200
2275196,ROUND CHALLAH,2.0,94.9,14.0,0.0,3.0,,2.0,80.1
1922607,SQUARE CHALLAH,2.0,100,12.0,0.0,2.0,,2.0,80.1
2094900,PLAIN BREAD (NAAN),1.5,220,35.0,0.994,2.0,,5.0,180
